t,q_x,q_y,q_z,q_w,p_x,p_y,p_z,v_x,v_y,v_z,b_w_x,b_w_y,b_w_z,b_a_x,b_a_y,b_a_z,s_q_x,s_q_y,s_q_z,s_q_w,s_p_x,s_p_y,s_p_z,
0.045,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.707106781187,0,0.707106781187,0.2,0.2,0.05,
0.095,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.707106781187,0,0.707106781187,0.2,0.2,0.05,
0.145,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.707106781187,0,0.707106781187,0.2,0.2,0.05,
0.195,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.707106781187,0,0.707106781187,0.2,0.2,0.05,
0.245,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.707106781187,0,0.707106781187,0.2,0.2,0.05,
0.295,-0.000420071906887,0.00027518729265,0.000904882950941,0.999999464499,-0.000876993500661,0.00080983302124,-1.50928936614e-05,-0.0432721604795,0.0408127681017,-0.000573773438884,0,0,0,0,0,0,0,0.707106781187,-5.42101086243e-20,0.707106781187,0.2,0.2,0.05,
0.345,-0.000849773105952,0.000662935693271,0.00202166006328,0.999997375643,-0.00410368178748,0.00386455370915,-8.63304433238e-05,-0.0906312425527,0.0851478332942,-0.00208708277659,0,0,0,0,0,0,4.33680868994e-19,0.707106781187,-1.08420217249e-19,0.707106781187,0.2,0.2,0.05,
0.395,-0.00130524536456,0.00102219964077,0.0032343497414,0.99999339519,-0.00962153565214,0.00915289904907,-0.000214283751906,-0.136057674618,0.131762417031,-0.00361491889252,0,0,0,0,0,0,-8.67361737988e-19,0.707106781187,6.50521303491e-19,0.707106781187,0.2,0.2,0.05,
0.445,-0.00178133341983,0.00134729042582,0.00456112660543,0.999987103809,-0.0174670773459,0.0167006214882,-0.00038930265985,-0.181905882484,0.175849142989,-0.00307539468189,0,0,0,0,0,0,6.93889390391e-18,0.707106781187,-4.33680868994e-18,0.707106781187,0.2,0.2,0.05,
0.495,-0.00221882375931,0.00171353781882,0.00594923472644,0.999978373374,-0.0275739755605,0.026446099283,-0.000585200334258,-0.226038078913,0.218628688299,-0.0046329984776,0,0,0,0,0,0,8.67361737988e-18,0.707106781187,-8.23993651089e-18,0.707106781187,0.2,0.2,0.05,
0.545,-0.00262953081084,0.00209214565627,0.00735696141328,0.999967291272,-0.0398358010644,0.0383241870165,-0.000837261834029,-0.268257903481,0.26092500856,-0.00507270340984,0,0,0,0,0,0,1.12757025938e-17,0.707106781187,-1.12757025938e-17,0.707106781187,0.2,0.2,0.05,
0.595,-0.00302944291652,0.00254545723142,0.00881602473623,0.999953309325,-0.0541783524933,0.0522928340888,-0.00106856342062,-0.308577006254,0.302356312691,-0.00452866342116,0,0,0,0,0,0,8.67361737988e-18,0.707106781187,-1.21430643318e-17,0.707106781187,0.2,0.2,0.05,
0.645,-0.00342588377199,0.00297027357995,0.0102695769396,0.999936986307,-0.0705289712048,0.0683166453284,-0.00132330572592,-0.348015120749,0.341860932799,-0.00486696390655,0,0,0,0,0,0,1.04083408559e-17,0.707106781187,-1.90819582357e-17,0.707106781187,0.2,0.2,0.05,
0.695,-0.00379491191561,0.00342904613567,0.0117824769986,0.999917503358,-0.0887574880129,0.0862495034139,-0.00160341021562,-0.384997353796,0.379456405179,-0.00591520583465,0,0,0,0,0,0,1.56125112838e-17,0.707106781187,-2.86229373536e-17,0.707106781187,0.2,0.2,0.05,
0.745,-0.00158914694457,0.004645430877,0.0219391934971,0.999747251245,-0.141594084143,0.141774745897,0.00854825985391,-0.489899293618,0.475633361396,0.0204529139023,-0.0104161844846,-0.00307446622195,-0.0351199456797,0.0121460923715,0.0149855778052,-0.0165153415018,2.55065547046e-06,0.707102861601,-1.22746854368e-05,0.70711070064,0.200003254364,0.200003680403,0.0499998465338,
0.795,-0.00138838361125,0.00106544291852,0.0224992253668,0.999745328611,-0.190008522136,0.161041619102,-0.000730785893671,-0.581899548171,0.495399770414,0.000750757100861,-0.0112835197561,0.0121761463185,-0.0285312672836,0.0143617662988,0.0211332497467,-0.00636572495955,9.05247178231e-06,0.7071056627,-1.2240103322e-05,0.707107899508,0.200003514521,0.200005500246,0.0499998985047,
0.845,0.000175804271048,0.00219459118369,0.0238991925544,0.999711949242,-0.217056479688,0.187903023545,0.00188535193721,-0.607300477473,0.517076084705,0.0125452922771,-0.0166272814349,0.00924929442128,-0.025926160979,0.00877422272044,0.0230642159808,-0.0277747788855,-8.77653729595e-07,0.70709815625,-1.9477209173e-05,0.707115405749,0.200002634045,0.200005771003,0.0499984043943,
0.895,-0.00235922028203,0.00310619459062,0.0223611714786,0.99974234863,-0.249336713673,0.229199506889,0.00614767003614,-0.640645745669,0.5727310839,0.0195320504525,-0.00837693072708,0.00749430092854,-0.0147176474659,0.0102203522005,0.0289236901046,-0.0230980235789,5.04207871862e-06,0.707099841062,-2.15728083165e-05,0.707113720896,0.200003103566,0.200006148884,0.049999256031,
0.945,-0.00246967936799,0.00254072699619,0.0238332140757,0.999709669503,-0.280950551812,0.266282410433,0.00404625471169,-0.667223951522,0.615484696773,0.0147176724103,-0.008228430494,0.0101802363354,-0.0136802738915,-0.0111153667432,0.0154977861013,-0.0197745370369,-6.58708657428e-06,0.707098252811,-1.19663611027e-05,0.707115309327,0.200001747968,0.200001952144,0.0499992688952,
0.995,-0.00198002054195,0.00317691358909,0.0259090893471,0.99965729419,-0.313906208544,0.295892439844,0.00509843367185,-0.692901500926,0.636929435975,0.0156836453537,-0.00963845442446,0.00936317657731,-0.014523290441,-0.0129792166913,0.0125503954994,-0.0179454149592,-7.67528807458e-06,0.707098674398,-9.29337576062e-06,0.707114887779,0.200001456609,0.200001471017,0.0499993054199,
1.045,-0.0023390758839,0.00365678851039,0.0276941281203,0.999607018728,-0.349464817565,0.328531915292,0.00658754847298,-0.716544706805,0.66036252889,0.0166927313634,-0.00880264576785,0.00901905976224,-0.0145026664694,-0.0150107116815,0.0125677617219,-0.0157761324341,-7.59258415652e-06,0.707099709005,-8.73740925807e-06,0.707113853202,0.200001289317,0.200001507639,0.0499993343103,
1.095,-0.00207361533502,0.00400798772649,0.0296860286358,0.999549086267,-0.385569029497,0.360860396293,0.00710547275976,-0.738860921904,0.67622197574,0.0191867929281,-0.00948406285302,0.00906129394649,-0.015043838198,-0.015668573469,0.011798461608,-0.0154599744675,-9.18515561944e-06,0.707099235207,-8.65839728197e-06,0.707114326973,0.200001279428,0.200001491843,0.0499990779094,
1.145,-0.00205340937961,0.00436326425757,0.0314211729128,0.999494599949,-0.42303823265,0.395162324428,0.00782271527027,-0.762124374717,0.691432097967,0.019191160425,-0.00964825570745,0.00910523398174,-0.014984497609,-0.0157322254733,0.0108934393214,-0.014778653764,-1.03716092535e-05,0.707098565077,-8.88306145554e-06,0.707114997069,0.200001220785,0.200001729004,0.0499989058252,
1.195,-0.00238272799685,0.00470054469916,0.0334789949682,0.999425527182,-0.462388337713,0.431372601598,0.00873879152419,-0.782316592802,0.71144416538,0.0210572516933,-0.00908491899463,0.00925887771229,-0.0156136520046,-0.0196970969464,0.00517780215601,-0.0139900822837,-1.28408276383e-05,0.707097926462,-5.80305097713e-06,0.70711563566,0.20000031709,0.200001195912,0.0499987089665,
1.245,-0.00174559221898,0.00524113971885,0.0360052629723,0.999336331973,-0.498903112064,0.460147570229,0.00854583591118,-0.792623549534,0.707600003425,0.0186029774777,-0.0105782091039,0.00903717707206,-0.0171637600604,-0.0258481365092,0.0132924637245,-0.00949767948803,-1.64501652456e-05,0.707102013542,-4.17312452461e-06,0.707111548595,0.200002145407,0.200001609355,0.0499983127806,
1.295,-0.00195849342604,0.00566030627219,0.0371991716481,0.999289921327,-0.538593587717,0.498072990107,0.00951427403122,-0.80734046435,0.719960447762,0.0171878044698,-0.0103530726419,0.00907203729112,-0.0159531100382,-0.0237487699466,0.0151198224817,-0.0101517050342,-1.50611421478e-05,0.707102752497,-4.08316612803e-06,0.707110809681,0.20000233962,0.20000151716,0.0499985300259,
