t,q_x,q_y,q_z,q_w,p_x,p_y,p_z,v_x,v_y,v_z,b_w_x,b_w_y,b_w_z,b_a_x,b_a_y,b_a_z,s_q_x,s_q_y,s_q_z,s_q_w,s_p_x,s_p_y,s_p_z,
0.045,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.707106781187,0,0.707106781187,0.2,0.2,0.05,
0.095,-0.000238856209289,0.000256815741051,0.000193748031693,0.999999919728,-0.00179629143836,0.000900653717979,8.93500257073e-05,-0.0893996710219,0.0450907825555,0.00485953881717,0,0,0,0,0,0,5.42101086243e-20,0.707106781187,6.77626357803e-20,0.707106781187,0.2,0.2,0.05,
0.145,-0.00058375079751,0.000546299280952,0.000632667674774,0.999999480262,-0.00848616712421,0.0042823250941,0.000459468354589,-0.188698187509,0.0951087713991,0.0102418278625,0,0,0,0,0,0,6.50521303491e-19,0.707106781187,-3.18484388168e-19,0.707106781187,0.2,0.2,0.05,
0.195,-0.0009519364781,0.000838078116322,0.0012773207495,0.999998379946,-0.0201211242039,0.0101095696136,0.0011089951232,-0.288181767995,0.143893171677,0.0165167508937,0,0,0,0,0,0,2.38524477947e-18,0.707106781187,-2.2226144536e-18,0.707106781187,0.2,0.2,0.05,
0.245,-0.00136404977483,0.00110475859036,0.00211587540414,0.999996220967,-0.0367395993549,0.0183772586433,0.00205838359537,-0.38546279237,0.192615016116,0.0223299680278,0,0,0,0,0,0,3.90312782095e-18,0.707106781187,-5.63785129692e-18,0.707106781187,0.2,0.2,0.05,
0.295,-0.00182173641378,0.00142295164644,0.00309124943267,0.999992550303,-0.0581899828807,0.0290882367641,0.0032414531133,-0.481575069986,0.241002251659,0.0263712504436,0,0,0,0,0,0,3.90312782095e-18,0.707106781187,-9.86623976962e-18,0.707106781187,0.2,0.2,0.05,
0.345,-0.00225782959266,0.00177414398132,0.0042107539628,0.999987012001,-0.0843961451821,0.0421709955657,0.00464775361701,-0.576667679412,0.286395621929,0.0297330831041,0,0,0,0,0,0,8.67361737988e-19,0.707106781187,-1.51788304148e-17,0.707106781187,0.2,0.2,0.05,
0.395,-0.00268969167878,0.00210661677679,0.00544158192172,0.999979358242,-0.115405166775,0.0575057114305,0.00624411953615,-0.671439942383,0.330847047696,0.0343219214908,0,0,0,0,0,0,-3.46944695195e-18,0.707106781187,-1.95156391047e-17,0.707106781187,0.2,0.2,0.05,
0.445,-0.00316486378327,0.00250949551653,0.00673376785887,0.999969170745,-0.151027376509,0.0751181868689,0.00807545001281,-0.762549346144,0.377643261269,0.0391336910671,0,0,0,0,0,0,-1.73472347598e-18,0.707106781187,-2.68882138776e-17,0.707106781187,0.2,0.2,0.05,
0.495,-0.00364469063679,0.00294363811347,0.00813223158952,0.999955958047,-0.191159582144,0.0950189410899,0.0101419608177,-0.851799058557,0.422664015269,0.043687182749,0,0,0,0,0,0,1.73472347598e-18,0.707106781187,-3.46944695195e-17,0.707106781187,0.2,0.2,0.05,
0.545,-0.00402397335704,0.0033145403538,0.0095740526344,0.999940577723,-0.235719378272,0.117076069152,0.0124062734296,-0.93834726658,0.464368232987,0.0478099692786,0,0,0,0,0,0,0,0.707106781187,-4.42354486374e-17,0.707106781187,0.2,0.2,0.05,
0.595,-0.00442699847486,0.00372147445018,0.0110148549607,0.999922609647,-0.284470602487,0.141253038835,0.0148735599115,-1.01992957561,0.506128004854,0.0521111280674,0,0,0,0,0,0,-3.46944695195e-18,0.707106781187,-5.37764277553e-17,0.707106781187,0.2,0.2,0.05,
0.645,-0.00480632164134,0.00415039573,0.0125177129346,0.999901485323,-0.337214333306,0.167461855462,0.0176176315261,-1.09737824686,0.545900026134,0.0577795878333,0,0,0,0,0,0,-8.67361737988e-18,0.707106781187,-6.33174068732e-17,0.707106781187,0.2,0.2,0.05,
0.695,-0.00514931165133,0.00462122289106,0.0140058964713,0.999877974431,-0.393836144409,0.195579284866,0.0206393113535,-1.17378824327,0.583386787477,0.0630768855249,0,0,0,0,0,0,-1.04083408559e-17,0.707106781187,-7.6327832943e-17,0.707106781187,0.2,0.2,0.05,
0.745,-0.00554086226129,0.00507879790515,0.0154876863742,0.999851807133,-0.454171692536,0.225553098173,0.0239123307313,-1.24664401038,0.620733634228,0.0684176327726,0,0,0,0,0,0,-1.04083408559e-17,0.707106781187,-9.10729824888e-17,0.707106781187,0.2,0.2,0.05,
0.795,-0.00586707027292,0.00554680566354,0.0169439983448,0.999823840161,-0.518120691431,0.257364206452,0.0274558872255,-1.31795798625,0.654902221253,0.0728100361361,0,0,0,0,0,0,-1.73472347598e-17,0.707106781187,-9.88792381307e-17,0.707106781187,0.2,0.2,0.05,
0.845,-0.00614729717164,0.00610641374183,0.0184367998876,0.999792481897,-0.585498538178,0.290869822669,0.0312289834506,-1.38254354903,0.688910964917,0.0783292071942,0,0,0,0,0,0,-2.42861286637e-17,0.707106781187,-1.05818132035e-16,0.707106781187,0.2,0.2,0.05,
0.895,-0.00643441012787,0.00664388099403,0.0198935304828,0.999759323366,-0.656020462085,0.326080449077,0.035274060716,-1.44459526728,0.722437788222,0.0831843056555,0,0,0,0,0,0,-2.42861286637e-17,0.707106781187,-1.19695919842e-16,0.707106781187,0.2,0.2,0.05,
0.945,-0.00672875499561,0.00720056994472,0.0212993807101,0.999724568084,-0.729547101008,0.362884962204,0.0395701414759,-1.50158679305,0.752070120238,0.0891567589863,0,0,0,0,0,0,-2.77555756156e-17,0.707106781187,-1.26634813746e-16,0.707106781187,0.2,0.2,0.05,
0.995,-0.00698185729038,0.00777223545547,0.0227157050942,0.999687372515,-0.805855467907,0.401140266642,0.0441509985325,-1.55490850211,0.781765873256,0.0944194462608,0,0,0,0,0,0,-3.12250225676e-17,0.707106781187,-1.37043154602e-16,0.707106781187,0.2,0.2,0.05,
1.045,-0.00722627302664,0.00839527290941,0.024130289714,0.9996474526,-0.884723929042,0.440859345366,0.0489462979591,-1.6034888051,0.80998821651,0.0986425999022,0,0,0,0,0,0,-2.77555756156e-17,0.707106781187,-1.56125112838e-16,0.707106781187,0.2,0.2,0.05,
