t,q_x,q_y,q_z,q_w,p_x,p_y,p_z,v_x,v_y,v_z,b_w_x,b_w_y,b_w_z,b_a_x,b_a_y,b_a_z,s_q_x,s_q_y,s_q_z,s_q_w,s_p_x,s_p_y,s_p_z,
0.045,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.707106781187,0,0.707106781187,0.2,0.2,0.05,
0.095,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.707106781187,0,0.707106781187,0.2,0.2,0.05,
0.145,-0.000283908796338,0.000262810823187,0.000382649615963,0.999999851953,-0.000916372023557,0.000847894604619,-9.69393497996e-06,-0.0446932955256,0.0429066600089,-0.00109862244276,0,0,0,0,0,0,1.62630325873e-19,0.707106781187,-1.35525271561e-19,0.707106781187,0.2,0.2,0.05,
0.195,-0.00064906537641,0.000533139564405,0.00103998253788,0.999999106456,-0.00425476179109,0.00408096568319,-4.0830860237e-05,-0.094423947054,0.0916119240937,-0.00022749317423,0,0,0,0,0,0,0,0.707106781187,-9.21571846613e-19,0.707106781187,0.2,0.2,0.05,
0.245,-0.0010803698322,0.000851109320876,0.00187093635858,0.999997304002,-0.0100573738003,0.00974635748795,-6.21671417506e-05,-0.14265638201,0.139462121145,-0.00125661053889,0,0,0,0,0,0,2.16840434497e-18,0.707106781187,-3.46944695195e-18,0.707106781187,0.2,0.2,0.05,
0.295,-0.00154665763479,0.00115485050994,0.00286669477045,0.999994028098,-0.018283931128,0.0177431170208,-0.000141043452226,-0.190388657575,0.185502347837,-0.0018595196345,0,0,0,0,0,0,3.46944695195e-18,0.707106781187,-6.83047368666e-18,0.707106781187,0.2,0.2,0.05,
0.345,-0.00197613371126,0.00154301139531,0.00398340547214,0.999988923185,-0.0288519433759,0.0280521327156,-0.000277049551457,-0.237063529359,0.230755042697,-0.00339116145143,0,0,0,0,0,0,0,0.707106781187,-9.54097911787e-18,0.707106781187,0.2,0.2,0.05,
0.395,-0.00243123840816,0.00190274376978,0.0051960795086,0.999981734535,-0.04167702097,0.0406409330911,-0.000470904739339,-0.281814753331,0.278294787162,-0.00494586774224,0,0,0,0,0,0,8.67361737988e-19,0.707106781187,-1.27935856353e-17,0.707106781187,0.2,0.2,0.05,
0.445,-0.00290678886138,0.00222838916532,0.00652289250016,0.999972017975,-0.0567957850078,0.0555351370189,-0.000712952619193,-0.326974211579,0.323309721853,-0.00442678945865,0,0,0,0,0,0,4.33680868994e-18,0.707106781187,-1.73472347598e-17,0.707106781187,0.2,0.2,0.05,
0.495,-0.00334376576438,0.00259533373254,0.00791095146065,0.99995974935,-0.0741415796499,0.0726734826758,-0.000976886682269,-0.370416229142,0.367019490417,-0.00600491442608,0,0,0,0,0,0,5.20417042793e-18,0.707106781187,-2.77555756156e-17,0.707106781187,0.2,0.2,0.05,
0.545,-0.00375396380263,0.00297471128891,0.00931858683242,0.999945109888,-0.0936077524233,0.0919911934228,-0.00129806241131,-0.411942036424,0.410256063206,-0.00646742805632,0,0,0,0,0,0,5.20417042793e-18,0.707106781187,-3.38271077815e-17,0.707106781187,0.2,0.2,0.05,
0.595,-0.00429941094796,0.000198588353544,0.0189176074344,0.999811782166,-0.140591430292,0.135518362775,-0.00255731485733,-0.515903070876,0.494509905358,-0.00620603021155,0.00055585592995,0.0130489450276,-0.0328927321514,0.00164104206793,0.00315196349498,-0.00975728249589,-3.36198488136e-06,0.707103196236,-5.49974717878e-06,0.707110366089,0.200001132858,0.200001266022,0.0499998731879,
0.645,-0.00471102653931,0.000298307156736,0.0211930157498,0.999764258876,-0.167385575827,0.16114974968,-0.00289262985515,-0.558673549841,0.534194748644,-0.00635607804926,0.00055585592995,0.0130489450276,-0.0328927321514,0.00164104206793,0.00315196349498,-0.00975728249589,-3.36198488136e-06,0.707103196236,-5.4997471788e-06,0.707110366089,0.200001132858,0.200001266022,0.0499998731879,
0.695,-0.00509576120279,0.000432376376366,0.0235277082118,0.999710104588,-0.196231481096,0.188699387433,-0.00324385235644,-0.599319309334,0.571952674928,-0.00722519419454,0.00055585592995,0.0130489450276,-0.0328927321514,0.00164104206793,0.00315196349498,-0.00975728249589,-3.36198488137e-06,0.707103196236,-5.49974717881e-06,0.707110366089,0.200001132858,0.200001266022,0.0499998731879,
0.745,-0.00178428069735,-0.0018517069616,0.0211599511051,0.999772796186,-0.242040364476,0.21616567498,-0.0134556488586,-0.672449890232,0.591944066118,-0.0231778064814,-0.0108383440707,0.0205816574105,-0.0184219503166,0.00477145288318,0.00658903039151,-0.00575446406504,2.11027762366e-06,0.707105457888,-5.11442551588e-06,0.707108104461,0.200001019536,0.20000217374,0.0499998021155,
0.795,-0.00183926094283,-0.00187239566873,0.0231067223608,0.999729558748,-0.276590313084,0.246506362681,-0.014616920188,-0.713347511904,0.624509148833,-0.0212956360585,-0.0108383440707,0.0205816574105,-0.0184219503166,0.00477145288318,0.00658903039151,-0.00575446406504,2.11027762364e-06,0.707105457888,-5.11442551588e-06,0.707108104461,0.200001019536,0.20000217374,0.0499998021155,
0.845,-0.000201829452518,-0.000277634849757,0.0238642043285,0.999715150398,-0.312041044568,0.275632525008,-0.0126358376799,-0.742771304178,0.63820370301,-0.0161151171293,-0.0153121950894,0.0164088310095,-0.0152799642739,0.00680994274074,0.0111764778217,-0.00588381642593,5.70792983761e-06,0.707106167512,-6.58770771576e-06,0.707107394806,0.200000688755,0.200002887876,0.0500000376486,
0.895,-0.00709924423345,-0.000146290551674,0.0248400560163,0.999666219769,-0.354156597286,0.327190153891,-0.00732183669542,-0.785687060482,0.720838547588,-0.0110922037706,0.00225852551124,0.0165429971861,-0.0132262042829,0.00823136275667,0.0143686879292,-7.63740785024e-05,9.96876632678e-06,0.707110435061,-6.20899553905e-06,0.707103127196,0.200000262838,0.200003140342,0.0500007040909,
0.945,-0.00451450660151,0.000948135646715,0.0249161374238,0.99967890163,-0.383372326339,0.369942011911,-0.00561643454879,-0.794993486736,0.752565408963,-0.0013894541382,-0.00461237063423,0.0142566728411,-0.00914012346395,-0.00804997392661,-0.00438255478576,-0.0140591253055,-8.12232817812e-06,0.707101458136,-2.29592891106e-06,0.707112104147,0.200000604302,0.200000557494,0.049998624023,
0.995,-0.00267954179271,0.0015763825546,0.0277194973477,0.999610906573,-0.422259986102,0.398784530127,-0.00740935221518,-0.821920405805,0.759521735041,-0.00430778916419,-0.00899673475689,0.0133476194453,-0.0117153142478,-0.00889340822491,-0.0070649428668,-0.00874194114829,-5.75509791741e-06,0.707103442934,2.72423332199e-06,0.707110119395,0.199999743177,0.199999948056,0.049998855024,
1.045,-0.00331717207063,0.00206907956726,0.0291777871324,0.999566592087,-0.464682212355,0.439215808531,-0.0059118472875,-0.847571327748,0.78821346149,-0.00212220979419,-0.00773655656274,0.012826532967,-0.0111548734996,-0.00941184403129,-0.0070898251501,-0.00874814227149,-6.41745220336e-06,0.707102520737,7.72036613042e-07,0.70711104158,0.199999707356,0.200000255758,0.0499986542051,
1.095,-0.00297380417914,0.00233353664425,0.0309757407496,0.9995129887,-0.506164798926,0.47728119592,-0.00564333828162,-0.870779627164,0.803363312295,0.00262186770053,-0.00852605344011,0.0128438654813,-0.0113927834477,-0.00965801728639,-0.00569944493076,-0.0120286453219,-8.92842305318e-06,0.707102656113,1.40265852244e-06,0.707110906179,0.199999466269,0.199999709257,0.049998261255,
1.145,-0.00273740439148,0.00284299407046,0.0329040366598,0.999450723334,-0.549630146178,0.515341798095,-0.00479266986077,-0.893532016489,0.81542830704,0.00406099864151,-0.00912721430784,0.0124034099796,-0.011885250016,-0.0103646254331,-0.00568809539569,-0.012470341548,-9.74538603008e-06,0.707102394432,6.95875771482e-07,0.707111167847,0.199999584016,0.199999724925,0.0499980821329,
1.195,-0.00324523493255,0.0031271403507,0.0347420873324,0.99938615,-0.595811129232,0.559248431721,-0.00450054538589,-0.91477440914,0.840162110839,0.00536930992253,-0.00833944186472,0.0124857319661,-0.0121688874595,-0.0153210670019,-0.0118549541365,-0.0111155019786,-1.32486515091e-05,0.707100305803,8.04674448233e-07,0.707113256386,0.199998839328,0.200000089982,0.0499977926478,
